"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 22:10:51 MSK 2024","Thu Jun 06 22:11:00 MSK 2024","8491","","","","","","Авторизация с non-verify параметрами -- @1.2 ",""
"passed","Thu Jun 06 22:10:14 MSK 2024","Thu Jun 06 22:10:26 MSK 2024","12196","","","","","","Ввод названия фильма с валидными параметрами -- @1.1 ",""
"passed","Tue Jun 04 20:55:47 MSK 2024","Tue Jun 04 20:55:51 MSK 2024","4780","","","","","","Авторизация с non-verify параметрами -- @1.2 ",""
"passed","Tue Jun 04 20:55:51 MSK 2024","Tue Jun 04 20:55:56 MSK 2024","4814","","","","","","Авторизация с non-verify параметрами -- @1.3 ",""
"passed","Thu Jun 06 22:10:38 MSK 2024","Thu Jun 06 22:10:43 MSK 2024","4982","","","","","","Авторизация с verify параметрами",""
"passed","Thu Jun 06 22:11:22 MSK 2024","Thu Jun 06 22:11:34 MSK 2024","11881","","","","","","Размещение карточки питомца с non-verify параметрами -- @1.1 ",""
"passed","Thu Jun 06 22:10:11 MSK 2024","Thu Jun 06 22:10:14 MSK 2024","3332","","","","","","Searching field tests -- @1.3 ",""
"passed","Thu Jun 06 22:10:32 MSK 2024","Thu Jun 06 22:10:38 MSK 2024","5410","","","","","","Ввод названия фильма с валидными параметрами -- @1.3 ",""
"passed","Thu Jun 06 22:11:34 MSK 2024","Thu Jun 06 22:11:46 MSK 2024","12350","","","","","","Размещение карточки питомца с non-verify параметрами -- @1.2 ",""
"passed","Thu Jun 06 22:11:46 MSK 2024","Thu Jun 06 22:11:59 MSK 2024","12304","","","","","","Размещение карточки питомца с non-verify параметрами -- @1.3 ",""
"passed","Tue Jun 04 20:55:36 MSK 2024","Tue Jun 04 20:55:42 MSK 2024","5692","","","","","","Авторизация на сайте с verify параметрами",""
"passed","Tue Jun 04 20:55:42 MSK 2024","Tue Jun 04 20:55:47 MSK 2024","4758","","","","","","Авторизация с non-verify параметрами -- @1.1 ",""
"passed","Thu Jun 06 22:11:09 MSK 2024","Thu Jun 06 22:11:22 MSK 2024","13084","","","","","","Размещение карточки питомца с verify параметрами",""
"passed","Thu Jun 06 22:10:06 MSK 2024","Thu Jun 06 22:10:11 MSK 2024","4463","","","","","","Searching field tests -- @1.2 ",""
"passed","Thu Jun 06 22:10:43 MSK 2024","Thu Jun 06 22:10:51 MSK 2024","8622","","","","","","Авторизация с non-verify параметрами -- @1.1 ",""
"passed","Thu Jun 06 22:10:26 MSK 2024","Thu Jun 06 22:10:32 MSK 2024","6098","","","","","","Ввод названия фильма с валидными параметрами -- @1.2 ",""
"passed","Thu Jun 06 22:11:00 MSK 2024","Thu Jun 06 22:11:09 MSK 2024","9449","","","","","","Авторизация с non-verify параметрами -- @1.3 ",""
"passed","Thu Jun 06 22:10:01 MSK 2024","Thu Jun 06 22:10:06 MSK 2024","4850","","","","","","Searching field tests -- @1.1 ",""
